"","File_name","Treatment","Individual","Type","Nestbox","Age","Region","Mass","Tarsus","Head","Wing","Ad_F","AD_M","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5","u","s","m","l","u.r","s.r","m.r","l.r","x","y","z","h.theta","h.phi","r.vec","r.max","r.achieved","lum","TypeAge","h.theta_s","h.phi_s","r.achieved_s","B1_s","H4_s","S9_s","S5_s","lum_s"
"1","M1_BF_BRIG_005_K176549_P1","BF","K176549","Bright","5","A1","Side",12.4,17.09,20.77,25.5,"0,050643604",NA,18471.9819552382,46.0647929058309,55.5813221153846,0.268354400160407,0.305566021091454,0.267856428891405,0.240951982298587,0.188079423820166,0.230375831962897,2.92401363901768,0.217880184879868,0.683478260869542,268.190467292195,36.5727506868132,-0.968449913278582,0.793941498045545,-0.0413929817310991,0.542641754316328,331,360,310,-1.57292405040867,306,0.235434372932899,0.240297974412259,0.262249976337445,0.262017676317397,-0.0145656270671013,-0.00970202558774069,0.0122499763374447,0.0120176763173973,0.013300546758236,0.00784333517068199,-0.0145656270671013,0.532811698801799,-0.756235906743585,0.021226868410709,0.364331523677635,0.0582625082684054,0.427099091700535,"BrightA1",2.45090912995388,-1.44959683332981,-1.72618813735436,1.21981901449074,-5.4768882889367,-2.01081829717464,-1.36398648168773,0.898450964446304
"2","M1_BF_BRIG_005_K176549_P2","BF","K176549","Bright","5","A1","Maxilla",12.4,17.09,20.77,25.5,"0,050643604",NA,9707.12010242426,24.2072820509333,32.9328534031414,0.252966166705489,0.275305669482997,0.142610125420368,0.291761512703805,0.245484208303898,0.319494122446364,3.04501790992668,0.332771935060314,0.490845410628008,2069.26095803613,22.1175300200568,-0.581083931110128,0.913672587179363,0.638454941698077,0.448471996233609,616,360,378,0.17934477147751,306,0.203396580090879,0.124471095813718,0.317655132042398,0.354477192053004,-0.0466034199091206,-0.125528904186282,0.067655132042398,0.104477192053004,0.140849393378933,0.0552823068517647,-0.0466034199091206,0.37401754163412,-0.298779816285569,0.158324236342046,0.315314304240034,0.502115616745128,0.249615596579348,"BrightA1",-0.056611365073406,0.549659350924384,0.699803395975661,-0.805008031751107,-0.00839710419950083,0.701697653463768,0.09752618753532,-0.805923899407814
"3","M1_BF_BRIG_005_K176549_P3","BF","K176549","Bright","5","A1","Mandible",12.4,17.09,20.77,25.5,"0,050643604",NA,12661.2441790953,31.5741750102127,46.4729057591623,0.218081025053781,0.237282486316766,0.131653264533046,0.310946664880564,0.264987021153051,0.346329096829283,3.48520134004362,0.360802032309952,0.656323703528304,3357.08456816731,33.1385525253315,-0.287905331271513,1.04954610895179,0.69399805098325,0.688841989250958,619,390,514,0.348462628715807,306,0.175203442385335,0.115316100926408,0.331049032531204,0.378431424157053,-0.0747965576146652,-0.134683899073592,0.0810490325312043,0.128431424157053,0.161124571355636,0.0595209042177654,-0.0747965576146652,0.353860188981773,-0.410691741098758,0.18734564463697,0.347750633011084,0.538735596294368,0.343659574833462,"BrightA1",-0.374916369506785,0.0605618999525456,0.899959165171618,-0.122556850107284,0.51938693209567,0.92330834710852,1.1425549810246,0.0971808795673271
"4","M1_BF_BRIG_005_K176549_P4","BF","K176549","Bright","5","A1","Palate",12.4,17.09,20.77,25.5,"0,050643604",NA,8390.79597252251,20.924678235717,29.7547607655502,0.292550183276846,0.3214428115526,0.198212459356404,0.245545804095913,0.201418745439048,0.270576473050149,2.12652863229271,0.224316778008036,0.431352657004823,953.066088245479,15.7625857655502,0.359886325475815,0.753301225853241,0.384681447897083,0.324938485296786,321,360,586,-0.369810320231067,306,0.239192304064418,0.180955210060255,0.274580281063031,0.305272204812296,-0.010807695935582,-0.0690447899397448,0.0245802810630308,0.055272204812296,0.0761283008746885,0.0222502275921844,-0.010807695935582,0.284352581452447,-0.135431825373137,0.0800462186077962,0.289834391116449,0.276179159758979,0.192233068467282,"BrightA1",-1.47251185758293,1.2635518705107,-0.535109509332347,-1.10910052568929,-1.72220365063417,-0.310829745770311,-0.808231222796234,-1.35696859498262
"5","M1_BF_BRIG_005_K176550_P1","BF","K176550","Bright","5","A1","Side",11.3,15.57,19.21,22,"0,050643604",NA,18791.710110883,46.8621199772643,54.0766746411483,0.263077220880996,0.299130044127781,0.257746959890393,0.246293198117155,0.194869904909729,0.24042946114013,2.09194099192063,0.211552015019962,0.51577294685989,389.950526991305,28.2266746411484,-0.96724846593751,0.602334564779461,0.0529775304295983,0.310667873471872,330,360,309,-0.243068516219429,305,0.227576524750193,0.230678920414246,0.267964916629595,0.273779638205966,-0.0224234752498073,-0.019321079585754,0.0179649166295951,0.0237796382059662,0.0263936915343527,0.0111267758549028,-0.0224234752498073,0.398961415071361,-0.664199197107186,0.0363764255530217,0.405561862599045,0.0896939009992291,0.440661242806138,"BrightA1",0.337277648130032,-1.04736159205289,-1.55439190299331,1.29368146981133,-1.32666705869203,-1.63429067874105,-1.26518198138075,1.02868836724479
"6","M1_BF_BRIG_005_K176550_P2","BF","K176550","Bright","5","A1","Maxilla",11.3,15.57,19.21,22,"0,050643604",NA,17572.9783679647,43.8228886981664,56.6223298429319,0.244982727317024,0.270709054920874,0.173426654559047,0.284316294476139,0.236221422780108,0.304391374385822,2.23536862201658,0.319329834900526,0.506253611176895,2998.16816919608,31.29213182313,-0.611644395128808,0.714059085393868,0.529704200968728,0.361494990574316,622,385,376,0.246078775035734,306,0.199533494086394,0.15275907713213,0.308746460803578,0.338960967977898,-0.0504665059136062,-0.09724092286787,0.0587464608035778,0.0889609679778984,0.114024905428386,0.0444674269302284,-0.0504665059136062,0.371838670822497,-0.391103632592592,0.132385419646106,0.340354183562176,0.38896369147148,0.447383466120374,"BrightA1",-0.0910179409425177,0.146169344876024,0.0813429020614741,1.0121344201699,0.199866779527852,0.267794557335783,0.851305489689204,1.09324191031185
"7","M1_BF_BRIG_005_K176550_P3","BF","K176550","Bright","5","A1","Mandible",11.3,15.57,19.21,22,"0,050643604",NA,12009.1285231774,29.9479514293701,41.795,0.237358079679359,0.259048192841593,0.141240413397663,0.300475278455281,0.255233671602221,0.327792843210561,3.09562931136136,0.344140512624516,0.536081081081079,2741.41047504371,28.2937064676617,-0.629480471707423,0.944762667135687,0.650953426756395,0.506469391963143,616,697,373,0.27329579196805,305,0.189517686955707,0.122827282907428,0.324946800541343,0.362708229595523,-0.0604823130442932,-0.127172717092572,0.0749468005413427,0.112708229595523,0.146896479600402,0.0581093594887949,-0.0604823130442932,0.376690529293941,-0.365649319365519,0.169154909980104,0.332529873245084,0.50869086837029,0.316973170910969,"BrightA1",-0.0144021839580167,0.257414323785841,0.735742098369573,-0.273206277280673,0.28480581131922,0.75156518840967,0.642954609003137,-0.159088786640781
"8","M1_BF_BRIG_005_K176550_P4","BF","K176550","Bright","5","A1","Palate",11.3,15.57,19.21,22,"0,050643604",NA,6206.09793293784,15.4765534487228,20.6843540669856,0.275875469784518,0.303745046867253,0.186610650997662,0.250542652507557,0.21116051028254,0.293825013277634,2.30063341557997,0.210947221115445,0.888702702702709,885.776590466383,11.6936326739508,-0.540741109137343,0.755570851914439,0.470877716187039,0.67147785817975,321,697,379,-0.139832642109845,305,0.227429356648954,0.16919126377354,0.278836357056754,0.324543022520753,-0.0225706433510465,-0.0808087362264599,0.0288363570567539,0.0745430225207525,0.0951331348936559,0.0226056479446869,-0.0225706433510465,0.233294508912461,-0.226852791113653,0.100353189361245,0.310465161464761,0.32323494490584,0.145034309406822,"BrightA1",-2.27877051101318,0.864007663012618,-0.277914202641218,-1.61380165534855,-1.00448791559159,0.0330835686113433,-0.862834556766346,-1.81021850699741
"9","M1_BF_BRIG_005_K176552_P1","BF","K176552","Bright","5","A1","Side",11.8,15.64,19.7,25,"0,050643604",NA,15095.9694946181,37.6458092135114,41.9146296296296,0.241492482883801,0.274946262930559,0.25505382526483,0.248942432970735,0.200223781081698,0.262058669203835,2.51372864468307,0.275103033625077,0.803405405405414,752.640135508955,25.2403439153439,-0.968257154062259,0.670468889968367,0.137615053490128,0.538658330356754,644,697,310,0.402089868255149,306,0.210003693029843,0.231922539677125,0.2684241944236,0.289649572869432,-0.0399963069701573,-0.0180774603228751,0.0184241944235999,0.0396495728694325,0.0353504439214654,0.00540097928173185,-0.0399963069701573,0.151611486398655,-0.841251068006872,0.0536519247921024,0.335355491896628,0.159985227880629,0.36100422910219,"BrightA1",-3.56862812732876,-1.82114525176013,-1.17019686048015,0.439904686860072,0.686747147046598,-1.29659658067541,-0.970870647888662,0.263741678573877
"10","M1_BF_BRIG_005_K176552_P2","BF","K176552","Bright","5","A1","Maxilla",11.8,15.64,19.7,25,"0,050643604",NA,14762.9957221866,36.8154506787696,51.1181151832461,0.228913787252327,0.251642835071548,0.148591318687364,0.303381738528687,0.254276478549109,0.326219154466552,2.95386610073939,0.343199316108262,0.699621621621631,3323.11118745166,33.8126201337411,-0.650280000064396,0.91843558914355,0.632824973628316,0.642557396231629,624,697,373,0.337700818480995,304,0.186074450454453,0.128458118780198,0.325961768018349,0.359505662747,-0.0639255495455473,-0.121541881219802,0.0759617680183486,0.109505662747,0.141487147260482,0.057968527127674,-0.0639255495455473,0.388847898587765,-0.395996788210196,0.165727001004548,0.340884556297182,0.486167524879207,0.392821336969717,"BrightA1",0.177574984557627,0.124784403603916,0.612635062352235,0.362982276509472,0.485801409334649,0.679234720704068,1.1149866395369,0.569281519633017
